,fold,filename,classID
0,1,102106-3-0-0.wav_0.npy,3
1,1,102106-3-0-0.wav_1.npy,3
2,1,102106-3-0-0.wav_0.npy,3
3,1,102106-3-0-0.wav_1.npy,3
4,1,102305-6-0-0.wav_0.npy,6
5,1,102305-6-0-0.wav_1.npy,6
6,1,102305-6-0-0.wav_2.npy,6
7,1,102305-6-0-0.wav_0.npy,6
8,1,102305-6-0-0.wav_1.npy,6
9,1,102305-6-0-0.wav_2.npy,6
10,1,102842-3-0-1.wav_0.npy,3
11,1,102842-3-0-1.wav_1.npy,3
12,1,102842-3-0-1.wav_2.npy,3
13,1,102842-3-0-1.wav_3.npy,3
14,1,102842-3-0-1.wav_0.npy,3
15,1,102842-3-0-1.wav_1.npy,3
16,1,102842-3-0-1.wav_2.npy,3
17,1,102842-3-0-1.wav_3.npy,3
18,1,102842-3-1-0.wav_0.npy,3
19,1,102842-3-1-0.wav_1.npy,3
20,1,102842-3-1-0.wav_2.npy,3
21,1,102842-3-1-0.wav_3.npy,3
22,1,102842-3-1-0.wav_0.npy,3
23,1,102842-3-1-0.wav_1.npy,3
24,1,102842-3-1-0.wav_2.npy,3
25,1,102842-3-1-0.wav_3.npy,3
26,1,102842-3-1-5.wav_0.npy,3
27,1,102842-3-1-5.wav_1.npy,3
28,1,102842-3-1-5.wav_2.npy,3
29,1,102842-3-1-5.wav_3.npy,3
30,1,102842-3-1-5.wav_0.npy,3
31,1,102842-3-1-5.wav_1.npy,3
32,1,102842-3-1-5.wav_2.npy,3
33,1,102842-3-1-5.wav_3.npy,3
34,1,102842-3-1-6.wav_0.npy,3
35,1,102842-3-1-6.wav_1.npy,3
36,1,102842-3-1-6.wav_2.npy,3
37,1,102842-3-1-6.wav_3.npy,3
38,1,102842-3-1-6.wav_0.npy,3
39,1,102842-3-1-6.wav_1.npy,3
40,1,102842-3-1-6.wav_2.npy,3
41,1,102842-3-1-6.wav_3.npy,3
42,1,106905-8-0-0.wav_0.npy,8
43,1,106905-8-0-0.wav_1.npy,8
44,1,106905-8-0-0.wav_2.npy,8
45,1,106905-8-0-0.wav_3.npy,8
46,1,106905-8-0-0.wav_0.npy,8
47,1,106905-8-0-0.wav_1.npy,8
48,1,106905-8-0-0.wav_2.npy,8
49,1,106905-8-0-0.wav_3.npy,8
50,1,106905-8-0-1.wav_0.npy,8
51,1,106905-8-0-1.wav_1.npy,8
52,1,106905-8-0-1.wav_2.npy,8
53,1,106905-8-0-1.wav_3.npy,8
54,1,106905-8-0-1.wav_0.npy,8
55,1,106905-8-0-1.wav_1.npy,8
56,1,106905-8-0-1.wav_2.npy,8
57,1,106905-8-0-1.wav_3.npy,8
58,1,106905-8-0-2.wav_0.npy,8
59,1,106905-8-0-2.wav_1.npy,8
60,1,106905-8-0-2.wav_2.npy,8
61,1,106905-8-0-2.wav_3.npy,8
62,1,106905-8-0-2.wav_0.npy,8
63,1,106905-8-0-2.wav_1.npy,8
64,1,106905-8-0-2.wav_2.npy,8
65,1,106905-8-0-2.wav_3.npy,8
66,1,106905-8-0-3.wav_0.npy,8
67,1,106905-8-0-3.wav_1.npy,8
68,1,106905-8-0-3.wav_2.npy,8
69,1,106905-8-0-3.wav_3.npy,8
70,1,106905-8-0-3.wav_0.npy,8
71,1,106905-8-0-3.wav_1.npy,8
72,1,106905-8-0-3.wav_2.npy,8
73,1,106905-8-0-3.wav_3.npy,8
74,1,122690-6-0-0.wav_0.npy,6
75,1,122690-6-0-0.wav_1.npy,6
76,1,122690-6-0-0.wav_2.npy,6
77,1,122690-6-0-0.wav_3.npy,6
78,1,122690-6-0-0.wav_0.npy,6
79,1,122690-6-0-0.wav_1.npy,6
80,1,122690-6-0-0.wav_2.npy,6
